url,scrapeDatetime,price,addressline1,addressline2,po,mls,bedrooms,totalbedrooms,bathrooms,propertyType,BuildingType,storeys,communityName,title,landSize,Builtin,parkingType,publishTime,PriceHistory,totalFinishedArea,appliancesIncluded,foundationType,style,architectureStyle,basementType,po3,CAGR
https://www.realtor.ca/real-estate/24176402/1684-walnut-street-halifax-halifax,"03/25/2022, 20:02:22",599900.0,1684 Walnut Street,"Halifax, Nova Scotia B3H3S4",B3H3S4,MLS  Number: 202204933,4 + 0,4.0,2.0,Single Family,House,2.0,Halifax,Freehold,under 1/2 acre,1952.0,"Garage, Detached Garage",2 days,,2020.0,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,Full,B3H,0.0
https://www.realtor.ca/real-estate/24175872/867-tower-road-halifax-halifax,"03/26/2022, 13:10:39",849900.0,867 Tower Road,"Halifax, Nova Scotia B3H2Y1",B3H2Y1,MLS  Number: 202204895,2 + 3,5.0,2.0,Single Family,House,1.0,Halifax,Freehold,under 1/2 acre,,,3 days,"Dec 10, 2013 Sold $713,000",2622.0,"Range, Dishwasher, Dryer, Washer, Microwave, Refrigerator",Poured Concrete,Detached,Character,,B3H,0.019706920115323
https://www.realtor.ca/real-estate/24173112/55-jackson-road-dartmouth-dartmouth,"03/26/2022, 13:15:45",209900.0,55 Jackson Road,"Dartmouth, Nova Scotia B3A4A5",B3A4A5,MLS  Number: 202204872,2 + 0,2.0,1.0,Single Family,House,1.0,Dartmouth,Freehold,under 1/2 acre,1967.0,,3 days,,960.0,"Stove, Refrigerator",Stone,Detached,,None,B3A,0.0
https://www.realtor.ca/real-estate/24172742/3a-3-bluestone-road-halifax-halifax,"03/26/2022, 13:16:31",3790000.0,3A-3 Bluestone Road,"Halifax, Nova Scotia B3P2H2",B3P2H2,MLS  Number: 202204853,4 + 0,4.0,5.0,Single Family,House,2.0,Halifax,Freehold,1 - 3 acres,,Garage,3 days,,6000.0,,Poured Concrete,Detached,Contemporary,,B3P,0.0
https://www.realtor.ca/real-estate/24172246/151-lier-ridge-halifax-halifax,"03/26/2022, 13:21:12",489900.0,151 Lier Ridge,"Halifax, Nova Scotia B3P0E1",B3P0E1,MLS  Number: 202204835,3 + 0,3.0,4.0,Single Family,House,2.0,Halifax,Freehold,under 1/2 acre,2018.0,"Garage, Attached Garage, Parking Space(s)",3 days,"Oct 15, 2018 Sold $287,300",1864.0,"Oven, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,2 Level,,B3P,0.1427282221752326
https://www.realtor.ca/real-estate/24171518/27-westridge-drive-halifax-halifax,"03/26/2022, 13:37:13",309000.0,27 Westridge Drive,"Halifax, Nova Scotia B3M1K6",B3M1K6,MLS  Number: 202204812,3 + 0,3.0,2.0,Single Family,Row / Townhouse,2.0,Halifax,Condominium/Strata,,1973.0,Parking Space(s),4 days,,1602.0,"Stove, Dishwasher, Dryer, Washer, Refrigerator",,,,,B3M,0.0
https://www.realtor.ca/real-estate/24171523/62a-frederick-avenue-fairview-fairview,"03/26/2022, 13:37:59",549900.0,62A Frederick Avenue,"Fairview, Nova Scotia B3N2K6",B3N2K6,MLS  Number: 202204818,3 + 1,4.0,4.0,Single Family,House,2.0,Fairview,Freehold,under 1/2 acre,2012.0,,4 days,,2338.0,"Oven - Electric, Stove, Dishwasher, Dryer, Washer, Microwave, Refrigerator",Poured Concrete,Semi-detached,2 Level,Full (Finished),B3N,0.0
https://www.realtor.ca/real-estate/24170997/703-1990-vernon-street-halifax-peninsula-halifax-peninsula,"03/26/2022, 13:39:20",799000.0,703 1990 Vernon Street,"Halifax Peninsula, Nova Scotia B3H0B8",B3H0B8,MLS  Number: 202204799,2 + 0,2.0,2.0,Single Family,Apartment,1.0,Halifax Peninsula,Condominium/Strata,,2018.0,"Garage, Underground, Parking Space(s)",4 days,,1140.0,"Range, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator, Intercom",Poured Concrete,,,None,B3H,0.0
https://www.realtor.ca/real-estate/24170659/5750-southwood-drive-halifax-halifax,"03/26/2022, 13:43:39",1330000.0,5750 Southwood Drive,"Halifax, Nova Scotia B3H4P4",B3H4P4,MLS  Number: 202204781,3 + 1,4.0,4.0,Single Family,House,2.0,Halifax,Freehold,under 1/2 acre,,Garage,4 days,,3700.0,Central Vacuum,Poured Concrete,Detached,,,B3H,0.0
https://www.realtor.ca/real-estate/24170510/212-5221-cornwallis-street-halifax-halifax,"03/26/2022, 13:44:01",329900.0,212 5221 Cornwallis Street,"Halifax, Nova Scotia B3K0B6",B3K0B6,MLS  Number: 202204767,1 + 0,1.0,1.0,Single Family,Apartment,1.0,Halifax,Condominium/Strata,under 1/2 acre,2008.0,"Garage, Attached Garage, Underground",4 days,"Jul 28, 2016 Sold $231,500",720.0,"Range - Electric, Dishwasher, Refrigerator",Poured Concrete,,,None,B3K,0.0608123163151279
https://www.realtor.ca/real-estate/24166722/629-herring-cove-road-spryfield-spryfield,"03/26/2022, 13:51:50",449000.0,629 Herring Cove Road,"Spryfield, Nova Scotia B3R1X8",B3R1X8,MLS  Number: 202204720,3 + 1,4.0,3.0,Single Family,House,2.0,Spryfield,Freehold,under 1/2 acre,,,4 days,,1532.0,,Poured Concrete,Semi-detached,,,B3R,0.0
https://www.realtor.ca/real-estate/24166919/37-eliza-ritchie-crescent-rockingham-rockingham,"03/26/2022, 13:52:51",634900.0,37 Eliza Ritchie Crescent,"Rockingham, Nova Scotia B3M0K5",B3M0K5,MLS  Number: 202204726,3 + 1,4.0,4.0,Single Family,Row / Townhouse,3.0,Rockingham,Freehold,under 1/2 acre,2019.0,"Garage, Attached Garage",4 days,,2475.0,"Range, Stove, Dishwasher, Dryer, Washer, Microwave, Refrigerator",Poured Concrete,,,,B3M,0.0
https://www.realtor.ca/real-estate/24166521/503-36-southgate-drive-bedford-bedford,"03/26/2022, 13:54:46",584900.0,503 36 Southgate Drive,"Bedford, Nova Scotia B4A4M4",B4A4M4,MLS  Number: 202204713,2 + 0,2.0,2.0,Single Family,Apartment,1.0,Bedford,Condominium/Strata,,2007.0,"Garage, Underground",5 days,"Apr 15, 2013 Sold $330,000",1580.0,"Stove, Dishwasher, Microwave Range Hood Combo, Refrigerator",Poured Concrete,,,None,B4A,0.065659918093621
