@relation 'home0_510-weka.filters.unsupervised.attribute.Remove-R1-2,4-8-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R10-12,14-15-weka.filters.unsupervised.attribute.Remove-R12-13-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R9'

@attribute price numeric
@attribute totalbedrooms numeric
@attribute bathrooms numeric
@attribute BuildingType {'Row / Townhouse',Apartment,House,'Mobile Home',Duplex}
@attribute storeys numeric
@attribute landSize {'under 1/2 acre','1/2 - 1 acre','1 - 3 acres','3 - 10 acres',Unknown,'10 - 49 acres','100+ acres','50 - 100 acres'}
@attribute Builtin numeric
@attribute totalFinishedArea numeric
@attribute po3 {B2W,B0P,B4A,B0J,B2H,B3N,B3Z,B3R,B3G,B4V,B3A,B0S,B0E,B4C,B4N,B3H,B2R,B3K,B3P,B2X,B2T,B4E,B3M,B2V,B0N,B2G,B0K,B0M,B4P,B0T,B0R,B9A,B4B,B2Y,A1A,B3V,B4G,B2N,B3T,B2S,B3E,B3L,B2Z,B6L,B0H,B4R,B3W,B3J}

@data
209900,2,1,House,1,'under 1/2 acre',1967,960,B3A
249000,4,1,House,2,'1/2 - 1 acre',1957,1691,B0E
3790000,4,5,House,2,'1 - 3 acres',?,6000,B3P
645000,4,3,House,1,'1 - 3 acres',2011,2784,B2T
209900,3,2,'Mobile Home',1,'under 1/2 acre',2018,1088,B0M
169900,3,1,House,2,'1 - 3 acres',?,1083,B0N
249900,3,2,House,2,'under 1/2 acre',1866,1612,B0N
189900,3,1,House,2,'under 1/2 acre',1932,1275,B0M
949000,5,5,House,2,'10 - 49 acres',2016,3590,B0N
3999900,5,6,House,2,'under 1/2 acre',2022,5268,B4A
449900,2,2,Apartment,1,?,2011,1255,B2W
929000,4,2,House,2,'1 - 3 acres',2018,2614,B0J
489900,3,4,House,2,'under 1/2 acre',2018,1864,B3P
299900,3,2,House,1,'1/2 - 1 acre',2001,1440,B3G
279900,3,1,'Row / Townhouse',2,'under 1/2 acre',1978,1200,B2W
395000,4,2,House,2,'1 - 3 acres',1992,1944,B2S
449000,3,2,House,1,'1 - 3 acres',1995,2288,B6L
149999,3,1,House,2,'under 1/2 acre',1915,960,B2H
129000,2,1,'Mobile Home',1,?,1989,840,B2N
899000,4,4,House,2,'1 - 3 acres',2019,3300,B2T
599900,4,3,House,1,'1 - 3 acres',?,3059,B2R
649900,3,2,House,2,'under 1/2 acre',?,1444,B0N
309000,3,2,'Row / Townhouse',2,?,1973,1602,B3M
399000,5,2,House,1,'1 - 3 acres',1976,1440,B2Z
549900,4,4,House,2,'under 1/2 acre',2012,2338,B3N
115000,2,1,House,1,'1 - 3 acres',2002,877,B4V
1595000,6,4,House,2,'under 1/2 acre',2003,3960,B3H
799000,2,2,Apartment,1,?,2018,1140,B3H
595000,4,4,House,2,'under 1/2 acre',1985,3964,B2X
399900,3,2,House,2,'1 - 3 acres',1986,1819,B0N
274700,3,3,House,2,'1 - 3 acres',?,1746,B0K
140000,3,1,House,2,'under 1/2 acre',?,1056,B2N
699000,3,3,House,1,'1 - 3 acres',?,3221,B4G
369900,3,2,House,1,'1/2 - 1 acre',1990,1764,B0P
349000,3,3,House,1,'under 1/2 acre',2004,2028,B4R
309900,3,2,House,1,'under 1/2 acre',2000,1536,B4E
