price,totalbedrooms,bathrooms,BuildingType,storeys,communityName,title,landSize,Builtin,totalFinishedArea,style,po3,CAGR
169900,3,1,House,2,Burntcoat,Freehold,'1 - 3 acres',?,1083,Detached,B0N,0
249900,3,2,House,2,'Upper Stewiacke',Freehold,'under 1/2 acre',1866,1612,Detached,B0N,0
189900,3,1,House,2,'Great Village',Freehold,'under 1/2 acre',1932,1275,Detached,B0M,0.215657
949000,5,5,House,2,Belmont,Freehold,'10 - 49 acres',2016,3590,Detached,B0N,0
3999900,5,6,House,2,Bedford,Freehold,'under 1/2 acre',2022,5268,Detached,B4A,0
449900,2,2,Apartment,1,Dartmouth,Condominium/Strata,?,2011,1255,?,B2W,0
929000,4,2,House,2,'Chester Basin',Freehold,'1 - 3 acres',2018,2614,Detached,B0J,0
489900,3,4,House,2,Halifax,Freehold,'under 1/2 acre',2018,1864,Detached,B3P,0.142728
299900,3,2,House,1,'Eastern Passage',Freehold,'1/2 - 1 acre',2001,1440,Detached,B3G,0
279900,3,1,'Row / Townhouse',2,'Cole Harbour',Freehold,'under 1/2 acre',1978,1200,?,B2W,0
395000,4,2,House,2,'Upper Nine Mile River',Freehold,'1 - 3 acres',1992,1944,Detached,B2S,0
449000,3,2,House,1,'Central North River',Freehold,'1 - 3 acres',1995,2288,Detached,B6L,0
149999,3,1,House,2,'New Glasgow',Freehold,'under 1/2 acre',1915,960,Detached,B2H,0.042616
129000,2,1,'Mobile Home',1,'Bible Hill',Freehold,?,1989,840,?,B2N,0
